Timestamp,Joint 1 Angle,Joint 2 Angle,Joint 3 Angle,Joint 4 Angle,Joint 5 Angle,Joint 6 Angle,Joint 7 Angle,Joint 8 Angle,Joint 9 Angle,Joint 10 Angle,Joint 11 Angle,Joint 12 Angle,Desired Joint 1 Angle,Desired Joint 2 Angle,Desired Joint 3 Angle,Desired Joint 4 Angle,Desired Joint 5 Angle,Desired Joint 6 Angle,Desired Joint 7 Angle,Desired Joint 8 Angle,Desired Joint 9 Angle,Desired Joint 10 Angle,Desired Joint 11 Angle,Desired Joint 12 Angle
1152,0.088531494140625,0.003269973210990429,0.5692175626754761,-0.17500412464141846,1.333906888961792,1.1645948886871338,1.5466973781585693,1.6813112497329712,-2.7192046642303467,-2.6371729373931885,-2.6649069786071777,-2.7555782794952393,-0.10617224127054214,0.0984712466597557,0.5321921110153198,0.11861341446638107,1.294589877128601,1.305518388748169,1.5519311428070068,1.4997621774673462,-1.71217679977417,-2.34035587310791,-2.0896425247192383,-1.8605749607086182
1153,0.1089385524392128,0.05165346711874008,0.6252915263175964,-0.12849783897399902,1.2621490955352783,1.1599321365356445,1.4845678806304932,1.4598008394241333,-2.6305925846099854,-2.5961568355560303,-2.516950845718384,-2.615534543991089,0.000997394323348999,0.11844771355390549,0.5473033785820007,0.08629073947668076,1.2137959003448486,1.396373987197876,1.5672762393951416,1.4753345251083374,-1.992612600326538,-2.333207130432129,-2.1314072608947754,-1.9670636653900146
1154,0.11693181842565536,0.06757944822311401,0.6032494902610779,-0.1292244791984558,1.2388960123062134,1.1942063570022583,1.488746166229248,1.437698245048523,-2.5652334690093994,-2.55288028717041,-2.4490888118743896,-2.5801703929901123,0.0032688602805137634,0.15998101234436035,0.495063453912735,0.08634617179632187,1.140368103981018,1.4274632930755615,1.5499032735824585,1.4657838344573975,-2.077693462371826,-2.2321693897247314,-2.077925682067871,-2.0301923751831055
1155,0.11475183814764023,0.09319423884153366,0.5933184623718262,-0.1187484860420227,1.2189128398895264,1.253368616104126,1.4985560178756714,1.4300076961517334,-2.5043957233428955,-2.5129542350769043,-2.386030912399292,-2.5474705696105957,0.05855874717235565,0.18760472536087036,0.46493884921073914,0.016575485467910767,1.102933645248413,1.4396817684173584,1.560515284538269,1.4794749021530151,-2.1428449153900146,-2.1472861766815186,-2.027402877807617,-2.1107325553894043
1156,0.11450961977243423,0.1192329153418541,0.5809046626091003,-0.10324639081954956,1.2012913227081299,1.3197369575500488,1.501159906387329,1.4263744354248047,-2.451793670654297,-2.4560325145721436,-2.3304009437561035,-2.516627788543701,0.11794064193964005,0.21116918325424194,0.40868762135505676,-0.015891462564468384,1.093307375907898,1.3853472471237183,1.5701844692230225,1.5044597387313843,-2.179629325866699,-2.040818691253662,-1.982234239578247,-2.187084197998047
1157,0.12092845141887665,0.1323733627796173,0.5653420090675354,-0.09289145469665527,1.191178560256958,1.3567966222763062,1.4984349012374878,1.427161693572998,-2.4006850719451904,-2.4008870124816895,-2.288658380508423,-2.4857852458953857,0.16084322333335876,0.23166608810424805,0.373624712228775,-0.03971898555755615,1.115293025970459,1.3190650939941406,1.5720733404159546,1.511800765991211,-2.1945786476135254,-1.960919976234436,-1.9782902002334595,-2.2525153160095215
1158,0.1331605762243271,0.1327972412109375,0.5487499237060547,-0.08162820339202881,1.1831247806549072,1.3534661531448364,1.4975872039794922,1.4364265203475952,-2.3609609603881836,-2.3532907962799072,-2.260197401046753,-2.4700005054473877,0.17830589413642883,0.24894356727600098,0.3507918417453766,-0.015271805226802826,1.1573431491851807,1.2932515144348145,1.5623998641967773,1.5169563293457031,-2.1928558349609375,-1.8983948230743408,-1.9745795726776123,-2.2533681392669678
1159,0.14375771582126617,0.13388723134994507,0.5348222851753235,-0.07006222009658813,1.1734964847564697,1.344140648841858,1.5018260478973389,1.4527158737182617,-2.31756329536438,-2.307551383972168,-2.238034248352051,-2.4584951400756836,0.17560486495494843,0.2550264596939087,0.34104400873184204,0.004705891013145447,1.1734979152679443,1.2710493803024292,1.5468567609786987,1.51812744140625,-2.1975111961364746,-1.8495234251022339,-1.96213698387146,-2.256695032119751
1160,0.15568706393241882,0.13836830854415894,0.531794548034668,-0.062250614166259766,1.1773719787597656,1.3429296016693115,1.514542579650879,1.467128038406372,-2.2840964794158936,-2.272469997406006,-2.224308490753174,-2.4477970600128174,0.16144831478595734,0.2709374725818634,0.33073005080223083,0.014192461967468262,1.1772955656051636,1.2505977153778076,1.5441067218780518,1.5198794603347778,-2.194248676300049,-1.816101312637329,-1.9452478885650635,-2.259249687194824
1161,0.16483087837696075,0.15096376836299896,0.5330056548118591,-0.05219846963882446,1.187060832977295,1.3434745073318481,1.5343440771102905,1.4800868034362793,-2.265122652053833,-2.246229410171509,-2.2216439247131348,-2.4402074813842773,0.1465970128774643,0.2870103716850281,0.3259492516517639,0.016853168606758118,1.1798958778381348,1.2497942447662354,1.5434015989303589,1.5214574337005615,-2.1951241493225098,-1.7865653038024902,-1.9277458190917969,-2.263986587524414
